"species","lon","lat"
"Amazilia rutila",-103.5854,18.53069
"Amazilia rutila",-102.694518,18.119604
"Amazilia rutila",-99.047996,16.797001
"Amazilia rutila",-102.040497,18.008499
"Amazilia rutila",-88.020278,18.613333
"Amazilia rutila",-99.09447,16.63242
"Amazilia rutila",-92.502222,15.279722
"Amazilia rutila",-103.450556,18.340278
"Amazilia rutila",-103.615,18.776111
"Amazilia rutila",-103.396111,18.650833
"Amazilia rutila",-102.37,18.276667
"Amazilia rutila",-97.29604769,16.11578312
"Amazilia rutila",-103.5092073,18.95262608
"Amazilia rutila",-92.547763,14.861898
"Amazilia rutila",-94.521716,16.30522
"Amazilia rutila",-85.5487,12.7055
"Amazilia rutila",-84.9441,9.89192
"Amazilia rutila",-106.865,24.3744
"Amazilia rutila",-106.384,23.2363
"Amazilia rutila",-104.794,21.8388
"Amazilia rutila",-104.136,19.0032
"Amazilia rutila",-88.3704,14.0854
"Amazilia rutila",-88.5731,14.0885
"Amazilia rutila",-91.3702,14.2984
"Amazilia rutila",-86.0698,15.0305
"Amazilia rutila",-98.9148,16.5549
"Amazilia rutila",-86.9793,14.2285
"Amazilia rutila",-86.4684,12.677
"Amazilia rutila",-87.149,15.134
"Amazilia rutila",-104.962,20.896
"Amazilia rutila",-84.7217,10.2039
"Amazilia rutila",-86.5756,14.7558
"Amazilia rutila",-104.366758,19.770775
"Amazilia rutila",-103.323,19.3324
"Amazilia rutila",-85.3847,12.2689
"Amazilia rutila",-83.8817,14.7584
"Amazilia rutila",-83.9475,14.3812
"Amazilia rutila",-101.455,17.7961
"Amazilia rutila",-100.864,17.2616
"Amazilia rutila",-99.6106,16.8923
"Amazilia rutila",-86.9683,13.3874
"Amazilia rutila",-101.191,17.4173
"Amazilia rutila",-87.8465,21.1173
"Amazilia rutila",-86.6219,12.9161
"Amazilia rutila",-84.3547,10.0451
"Amazilia rutila",-91.9348,14.3934
"Amazilia rutila",-91.9089,14.6514
"Amazilia rutila",-89.3137,15.0479
"Amazilia rutila",-86.05,12.333333
"Amazilia rutila",-83.75,14.366667
"Amazilia rutila",-86.9496,14.8311
"Amazilia rutila",-90.4017,14.7154
"Amazilia rutila",-87.0683,14.4507
"Amazilia rutila",-87.5289,13.6487
"Amazilia rutila",-86.2823,14.5938
"Amazilia rutila",-86.4186,15.082
"Amazilia rutila",-88.5999,14.9514
"Amazilia rutila",-83.9685,14.5517
"Amazilia rutila",-88.3249,14.7769
"Amazilia rutila",-85.4558,11.9406
"Amazilia rutila",-107.124041,24.434298
"Amazilia rutila",-105.687623,23.208655
"Amazilia rutila",-99.860428,17.445108
"Amazilia rutila",-105.212,19.7677
"Amazilia rutila",-83.6534,13.6405
"Amazilia rutila",-83.9229,13.4035
"Amazilia rutila",-87.7375,20.1655
"Amazilia rutila",-86.74,12.7458
"Amazilia rutila",-101.847,17.9529
"Amazilia rutila",-89.1396,15.0492
"Amazilia rutila",-102.368,18.753
"Amazilia rutila",-83.622,14.115
